# Standard errors (SEM, "m" from M±m) for Group I, dissertation tables (1998).
# Aligned point-for-point with group1.csv. SEM of the DELTA at each timepoint.
# VERIFIED against boyarchuk_analytical_summary.md (clean tables 2, 3, 4a).
# Source rows:
#   recalc/thrombin/fib/xiii  -> Table 2 (hemostasis G1)
#   acid_phosphatase          -> Table 3 (AP row, G1)
#   degranulation             -> Table 4a, "більше 30 лізосом, %" row (G1).
#     NOTE: CSV degranulation = -(delta of ">30 lysosomes %"), i.e. the drop in
#     the intact-neutrophil fraction expressed as positive degranulation. SE is
#     taken from that ">30 lysosomes" row (NOT "<10 lysosomes").
# NOTE: SEM (precision of the mean), not SD. n drops to ~28 after day 12.
time_d,recalc_se,thrombin_se,fib_se,xiii_se,acid_phosphatase_se,degranulation_se
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.93,0.58,13.26,1.25,0.05,1.32
2,4.20,0.87,8.54,3.85,0.07,2.68
3,8.87,0.75,7.37,4.76,0.12,2.70
4,9.40,0.62,0.94,5.64,0.11,5.11
5,5.18,0.43,5.52,2.61,0.09,2.40
6,4.76,0.67,5.81,4.34,0.11,2.01
7,5.93,0.50,5.43,2.54,0.12,1.17
8,3.97,0.36,5.43,2.13,0.12,1.99
9,22.67,1.79,7.49,4.40,0.14,1.79
10,22.94,1.48,9.57,4.78,0.15,2.65
11,16.91,2.42,6.25,3.52,0.18,4.37
12,13.50,2.71,6.79,5.23,0.19,2.93
13,12.70,0.13,11.25,3.46,0.11,5.88
14,15.63,1.21,11.90,11.36,0.10,1.56
19,5.71,1.20,3.25,4.28,0.06,5.29
